tiêu đề,link truyện,thể loại,mô tả,link ảnh
Trị Liệu Sư Quá Mạnh,https://goctruyentranhvui16.com/truyen/tri-lieu-su-qua-manh,"Hài Hước, Manhwa, Phiêu Lưu, Hành Động","South Korea’s top hunter, 'Mad Dog' Min Si-woo. The moment he and his disciples defeated the Demon King! He was sent to another world,and after 100 years of battling in a monster-infested realm, he finally returned to Earth! ""But why has everyone forgotten about me?"" 100 years in the other world was only 10 years on Earth. Now, a seasoned veteran hardened by a century of bloodshed,Min Si-woo sets out to find his lost disciples and uncover the reason behind his erasure![Food supply, buy me some fried chicken.]...Alongside Fre, a mysterious being he met in the other world!",https://goctruyentranhvui16.com/image/tri-lieu-su-qua-manh-0000917077-10-02-2025/1MWLPXrJI3NFosZvWE94aZzVYOu99mu3G?code=gtt-yes
Tôi Là Người Chơi Duy Nhất Đăng Nhập,https://goctruyentranhvui16.com/truyen/toi-la-nguoi-choi-duy-nhat-dang-nhap,"Hành Động, Manhwa, Siêu Nhiên","Jung Si-woo 11 tuổi chưa bao giờ có bạn bè, bởi vì không có gì thú vị về anh ta. Anh ấy đã sống một cuộc sống trung bình như một người bình thường trong một thế giới trung bình. Nhưng đột nhiên, trái đất phải đối mặt với một sự thay đổi lớn khi 'Lâu đài trên bầu trời' trôi nổi bí ẩn xuất hiện. 'Lâu đài bầu trời' đã cấp cho một số người đôi cánh và sức mạnh, nhưng thật không may, Si-woo không phải là một trong số họ.",https://goctruyentranhvui16.com/image/toi-la-nguoi-choi-duy-nhat-dang-nhap-0000058103-03-06-2021/1JDeIaZ0o_3FDbpcee-D7q51LoxGxypni?code=gtt-yes
Thợ Săn Chơi Thuốc,https://goctruyentranhvui16.com/truyen/tho-san-choi-thuoc,"Phiêu Lưu, Shounen, Hành Động, Manhwa","Một ngày nọ, một cánh cổng bất ngờ mở ra trên thiên đường, kéo theo sự xâm lăng của lũ quái vật và sự can thiệp của các tu sĩ vào thế giới loài người. 『Cơ quan Quản lý“ Cà phê ”Thuốc Kỳ diệu』 『Thành phần dược liệu: Caffeine và đường』 ☞ Cung cấp năng lượng ☞ Kích thích hệ thần kinh trung ương ☞ Tối đa hóa các giác quan và phản xạ Cả thế giới dường như chậm lại và thuốc của Hanyul bắt đầu cho thấy tác dụng thực sự của chúng.",https://goctruyentranhvui16.com/image/tho-san-choi-thuoc-0000312768-09-10-2022/1EWHrOzxiA9XgV2XhWPv1Ppzlm-xW3V5O?code=gtt-yes
Con Đường Của Võ Giả,https://goctruyentranhvui16.com/truyen/con-duong-cua-vo-gia,"Hành Động, Phiêu Lưu, Manhwa",Updating,https://goctruyentranhvui16.com/image/con-duong-cua-vo-gia-0000957154-10-03-2025/1Bd6B3jxsy6k200zFTiVlQ-LHBTaoL2vK?code=gtt-yes
Seoul Tử Linh Sư,https://goctruyentranhvui16.com/truyen/seoul-tu-linh-su,"Webtoons, Phiêu Lưu, Khoa Học, Manhwa, Hài Hước","""Cái này là cái gì?"" Một hồn ma đã trở lại trái đất sau 20 năm, và ga tàu điện ngầm… Không, nó đã trở thành một ngục tối. Cúi đầu trước sự uy nghiêm của đội quân một người này khi tôi bắt đầu chiếm đoạt thế giới.",https://goctruyentranhvui16.com/image/seoul-tu-linh-su-0000083253-18-10-2021/1k4CcMzUUWJ0p6e8NzJcF2jd3RtgQ8utg?code=gtt-yes
Ta Trời Sinh Đã Là Nhân Vật Phản Diện,https://goctruyentranhvui16.com/truyen/ta-troi-sinh-da-la-nhan-vat-phan-dien,"Manhua, Viễn Tưởng, Truyện Màu, Võ Thuật","Cố Trường Ca xuyên không trở thành nhân vật phản diện, làm thiếu chủ một trường sinh thế gia, hắn phải đối mặt với đủ loại motip nhân vật chính: khí vận chi tử quật khởi; tiểu muội muội phiên bản tuổi nhỏ của Hoang Thiên đế có thâm thù đại hận với hắn; vị hôn thê xuyên không từ 3000 năm sau về trả thù; truyền nhân của Cổ Thiên Tôn, cường giả trọng sinh đoạt xá sống lại; chí cường giả luân hồi chuyển thế; Đế tử trùng sinh, thánh nữ là người xuyên không từ địa cầu ( đồng hương); nhóm người xuyên không từ hành tinh khác tới - phiên bản của Diệp Thiên Đế trong Già Thiên.... Hắn thân phụ hệ thống Cướp đoạt khí vận, tu luyện Thôn Tiên Ma Công, lấy thôn phệ tu vi, bản nguyên để tu luyện. Hãy cùng theo dõi bộ truyện: ""Ta! Thiên mệnh đại nhân vật phản phái"" để xem Cố Trường Ca làm thế nào để hoá giải thù hận của muội muội và vị hôn thê, từng bước đưa từng khí vận chi tử vào thế thanh bại danh liệt, nêu cao lá cờ chính nghĩa để mưu đồ cá nhân tính kế cả thiên hạ trong lòng bàn tay, đi đến đỉnh phong của nhân vật phản diện!",https://goctruyentranhvui16.com/image/ta-troi-sinh-da-la-nhan-vat-phan-dien-0000160786-04-04-2022/17TgIkWWYFpDl8U0tiFgeqVGstPIYUbNU?code=gtt-yes
Cậu Nhỏ Nhà Công Tước Là Sát Thủ Hồi Quy,https://goctruyentranhvui16.com/truyen/cau-nho-nha-cong-tuoc-la-sat-thu-hoi-quy,"Phiêu Lưu, Huyền Bí, Manhwa, Hành Động","Cyan Vert, sát thủ giỏi nhất lục địa, gặp cái chết thương tâm sau khi bị chính anh trai mình, người mà anh tin tưởng cả đời, phản bội. Nếu tôi được trao một cơ hội khác trong cuộc sống, tôi sẽ sống khác đi. Tôi sẽ chỉ tin tưởng vào bản thân mình và tự mình đạt được tất cả những điều tôi muốn mà không phục vụ ai khác ngoài chính mình. Đó là cách tôi được trao cơ hội sống thứ hai. Cyan Vert, một cái bóng sống vì người khác, không còn nữa. Bây giờ tôi sẽ tự mình mở đường cho chính mình!",https://goctruyentranhvui16.com/image/cau-nho-nha-cong-tuoc-la-sat-thu-hoi-quy-0000501393-28-02-2024/1DPCUEzx-0gM_Yt8bwthsfg8sM6YnhZ_C?code=gtt-yes
Hardcore Leveling Warrior: Earth Game,https://goctruyentranhvui16.com/truyen/hardcore-leveling-warrior--earth-game,"Viễn Tưởng, Manhwa, Huyền Bí, Hành Động","SS3 Lucid Adventure - Một ứng dụng cho phép người dùng mơ và tham gia trò chơi cùng một lúc. Main là nhân vật bá dzơ với tất cả thông số đều max và đang là người chơi xếp hạng 1. Pee kịck xảy ra khi 1 em gái ất ơ nào đó cải trang thành 1 cháu noob canh lúc main đang phê thọt cho 1 nhát, cướp sạch item và để quái bụp main lên dĩa. Đặc điểm ở trò chơi này là khi tạch, tất cả thông số sẽ trở về 1, cháu main lầy lội max 999 từ thiên đường rơi xuống địa ngục trần game, trước khi được 1 em bánh bao bự cỡ cái tô ra tay nghĩa hiệp cứu với đời zai và tiếp tục hành trình trần ai khoai củ của mình. - Một bộ truyện về game mang tính chất bựa lòi siêu nhộn vừa mới ra mắt trên mạng chương 1 chưa được 1 tuần đã được ComicVN tha về Việt hoá - Đây là bộ truyện độc đáo bởi main bị nerf chứ không được buff như truyện khác :v Lucid Adventure - Một ứng dụng cho phép người dùng mơ và tham gia trò chơi cùng một",https://goctruyentranhvui16.com/image/hardcore-leveling-warrior-ss3-0000473295-27-11-2023/145BPPHTf-qBJaY3z1Rc9xnOJLjtQLhVZ?code=gtt-yes
Con Trai Út Nhà Ha Buk Paeng,https://goctruyentranhvui16.com/truyen/con-trai-ut-nha-ha-buk-paeng,"Hành Động, Phiêu Lưu, Võ Thuật, Manhwa, Bi Kịch","( 북팽가 막내아들)Sức mạnh lớn nhất của Ha-Buk-Paeng, Paeng Jihuk. Paeng Jihuk đến Nakhogok để cứu một gia đình khỏi bị ma quỷ tấn công, nhưng mọi thứ chỉ là một cái bẫy. Trên bờ vực của cái chết, anh ta trở nên tức giận trước thực tế là anh ta đã bị bỏ rơi bởi gia đình anh ta yêu thương. “Một lần nữa… Nếu tôi được cho một cơ hội nữa…!” Paeng Jihuk, người đã nghĩ rằng mình đã chết, tỉnh dậy trong một căn phòng trong xác của chủ nhân của Ha -Buk-Paeng. Sự trả thù của thiếu gia Peng",https://goctruyentranhvui16.com/image/con-trai-ut-nha-ha-buk-paeng-0000087496-06-11-2021/14JVA_lRv8bWhBFxh5K5HIWPePy5YD68d?code=gtt-yes
Đại Phụng Đả Canh Nhân,https://goctruyentranhvui16.com/truyen/dai-phung-da-canh-nhan,"Võ Thuật, Huyền Bí, Manhua, Hành Động","Thế giới này, có nho; có đạo; có phật; có yêu; có thuật sĩ. Tốt nghiệp trường cảnh sát Hứa Thất An yếu ớt tỉnh lại, phát hiện chính mình thân ở trong lao ngục, ba ngày sau lưu vong biên thuỳ. . . . . Hắn mới đầu mục đích chẳng qua là tự vệ, thuận tiện tại cái này không có nhân quyền trong xã hội làm cái phú gia ông nhàn nhã sống qua ngày.",https://goctruyentranhvui16.com/image/dai-phung-da-canh-nhan-0000584474-20-07-2024/1h9G_-obESpxRS27EU614Hw4AuXcLilnv?code=gtt-yes
Thiết Huyết Kiếm Sĩ Phục Thù,https://goctruyentranhvui16.com/truyen/thiet-huyet-kiem-si-phuc-thu,"Trùng Sinh, Hành Động, Võ Thuật, Phiêu Lưu, Manhwa","Anh là chó săn của gia tộc Baskerville: Vikir. Tuy nhiên, lòng trung thành của anh đã được đền đáp bằng lưỡi dao chém vấy bẩn bởi lời vu khống. ""Tôi sẽ không bao giờ sống cuộc sống của một con chó săn bị giết sau khi bắt được thỏ."" Thay vì cái chết, một cơ hội bất ngờ đang chờ đợi anh. Đôi mắt của Vikir sáng lên màu đỏ khi anh mài nanh trong bóng tối. ""Cứ đợi đó, Hugo. Lần này tôi sẽ xé toạc cổ họng của anh."" Đã đến lúc con chó săn trả thù đẫm máu chủ nhân của mình.",https://goctruyentranhvui16.com/image/thiet-huyet-kiem-si-phuc-thu-0000396532-15-04-2023/1fXtUMkMS_E0LxJ1cctL_LArPD91-hgo3?code=gtt-yes
Thể Thao Cực Hạn,https://goctruyentranhvui16.com/truyen/the-thao-cuc-han,"Drama, Học Đường, Manhwa","Jay là một học sinh hoàn hảo. Anh ấy được nhận thẳng là As và anh ấy là chủ tịch hội sinh viên. Nhưng sau khi bị ép buộc tham gia đội xe đạp của trường, Hummingbird Crew, anh ấy khám phá ra một thế giới hoàn toàn mới bên ngoài việc học tập. Anh ta sẽ phải đối mặt với những cuộc phiêu lưu mới nào ngoài sự thoải mái của sách giáo khoa?",https://goctruyentranhvui16.com/image/the-thao-cuc-han-0000061139-26-06-2021/1KDmrLllnOp_jIbViK4wloXcHW-3o8ld7?code=gtt-yes
Tự Kỷ Luật Ta Đây Bất Khả Chiến Bại,https://goctruyentranhvui16.com/truyen/tu-ky-luat-ta-day-bat-kha-chien-bai,"Manhua, Phiêu Lưu, Hành Động, Võ Thuật","Đây là một thế giới yêu ma tiềm tàng, vạn tộc san sát, hơi không chú ý, chính là cá lớn nuốt cá bé. Nhưng tất cả những điều này không liên quan đến Lý Đán, bởi vì miễn là kỷ luật tự giác, có thể nhận được phần thưởng tương ứng, sau đó trở nên hoàn hảo vô địch! ""Đinh: Chúc mừng túc chủ kiên trì vận động mỗi ngày, đạt được một bộ công pháp luyện thể đỉnh cấp."" ""Đinh: Tuyên bố nhiệm vụ tự kỷ luật mới, kiên trì một tháng thổ lộ mỹ nữ xinh đẹp trong tông môn, thưởng cho một thân thiên phú thần bí.""",https://goctruyentranhvui16.com/image/tu-ky-luat-ta-day-bat-kha-chien-bai-0000988468-30-03-2025/1bIDfXO48l-BYAmhMMDmtsaO9NTlRnKkx?code=gtt-yes
Bắt Đầu Với Trăm Vạn Minh Tệ,https://goctruyentranhvui16.com/truyen/bat-dau-voi-tram-van-minh-te,"Hành Động, Phiêu Lưu, Manhua, Huyền Bí","Lâm Ngự vô tình thức tỉnh ""Hệ Thống Thần Hào"" mỗi ngày đều phát tiền nhưng tiền hệ thống phát lại là minh tệ (tiền dành cho người chết) không thể nào sử dụng được! Vài năm sau, minh tệ tích lũy đạt đến mức nghìn tỷ, nỗi kinh hoàng đột ngột xuất hiện, những trò chơi kinh dị xuất hiện trên toàn cầu, chỉ có cách trở thành ngự quỷ giả (người bắt quỷ), bạn mới có thể tìm được con đường sống sót! Những người khác thì sợ hãi nịnh hót ác quỷ, còn Lâm Ngự thì dựa vào hệ thống Thần Hào của bản thân, tại phó bản kinh dị thăng cấp từng ngày! Hóa ra có tiền mua tiên cũng được!",https://goctruyentranhvui16.com/image/bat-dau-voi-tram-van-minh-te-0000580097-15-07-2024/1Sbr6BhbWYtI9zKJB-_KknfwZUMD6CuRT?code=gtt-yes
Thảm Họa Tử Linh Sư,https://goctruyentranhvui16.com/truyen/tham-hoa-tu-linh-su,"Phiêu Lưu, Manhua, Huyền Bí","Trò chơi đã trở thành hiện thực, luật lệ của thế giới bị đảo lộn và nhân loại đã bước vào kỷ nguyên trở thành người chơi với thế giới được coi là một sân khấu trò chơi. Cách duy nhất để trở thành người chơi là tăng cấp để trở nên mạnh mẽ hơn! Cách duy nhất để vươn lên dẫn đầu thế giới! Vào ngày hợp nhất thế giới, Lin Moyue đã chọn đảm nhận chức nghiệp ẩn duy nhất, Necromancer. Từ đó trở đi, Lin Moyue sẽ không chết cho đến khi sinh vật được triệu hồi của anh biến mất. ""Tôi ngồi trên ngai xương với tư cách là Thần chết và bước đi giữa sự sống và cái chết."" ""Tôi là một thảm họa biết đi!""",https://goctruyentranhvui16.com/image/tham-hoa-tu-linh-su-0000473355-27-11-2023/12622Rw0Jm9Ze7aE-m6M04LkR5ndRVf4E?code=gtt-yes
Hành Tinh Quái Vật,https://goctruyentranhvui16.com/truyen/hanh-tinh-quai-vat,"Drama, Siêu Nhiên, Huyền Bí, Phiêu Lưu, Manhwa, Hành Động","Đội trưởng lực lượng đặc biệt Hàn Quốc 'Kang San' và nữ sĩ quan quân đội 'Kim Bi-yeon' gặp tai nạn bất ngờ trong quá trình huấn luyện xuống cấp. Ngay sau khi vụ tai nạn xảy ra, một thế giới xa lạ đã mở ra trước mắt hai người họ. Một câu chuyện sinh tồn tuyệt vọng của hai người đàn ông và phụ nữ diễn ra trong một thế giới xa lạ!",https://goctruyentranhvui16.com/image/hanh-tinh-quai-vat-0000274806-29-08-2022/1xv55MeshfCnT3DSw-4cMD_Z71U0u3KVY?code=gtt-yes
Toàn Dân Chuyển Chức: Duy Ta Vô Chức Tán Nhân,https://goctruyentranhvui16.com/truyen/toan-dan-chuyen-chuc--duy-ta-vo-chuc-tan-nhan,"Manhua, Phiêu Lưu, Hành Động, Võ Thuật","Vào một năm kia, toàn cầu dị biến, trò chơi buông xuống hiện thực, ma tai bắt đầu tàn sát bừa bãi. Vì để chống cự, mỗi người đều phải quy hoạch chức nghiệp lựa chọn, điên cuồng thăng cấp, tranh thủ biến cường. Có người lựa chọn pháp gia cao quý, có người lựa chọn triệu hoán sư, triệu hoán vật kỳ lạ ùn ùn không dứt, vây đánh tử địch của con người. Nhưng để mọi người mở rộng tầm mắt chính là,vân thần bị gửi lấy kỳ vọng cao thi đại học lại lựa chọn không chuyển chức, nắm một cái không có chức tán nhân!",https://goctruyentranhvui16.com/image/toan-dan-chuyen-chuc-duy-ta-vo-chuc-tan-nhan-0000653627-21-08-2024/12Qd2NLwTb9eFDiKENMyalH2JgcnoFoCT?code=gtt-yes
